"ユーザid", "氏名","氏名（ひらがな）","年齢","生年月日","性別","血液型","メールアドレス","電話番号","携帯電話番号","郵便番号","住所","会社名","クレジットカード","有効期限","マイナンバー"
1, "渡辺 みどり","わたなべ みどり",39,"1983年09月13日","その他・不明","O","midoriwatanabe@example.co.jp","03-3688-2229","050-4044-8156","155-8047","東京都杉並区高円寺南2-2-9","株式会社ACT","5292144945199083","02/26","835578994615"
2, "佐藤 修一","さとう しゅういち",61,"1961年02月27日","男","AB","shuichisato@example.co.jp","0946-47-6696","070-3851-0961","809-6316","福岡県福岡市博多区博多駅前2-5-6","","378577534528709","08/23","617066888190"
3, "西村 隼","にしむら はやと",49,"1973年06月25日","男","O","junnishimura@example.org","03-8596-2432","080-5040-8364","207-0355","東京都台東区東上野3-5-15","","370683836851761","02/24","287492134551"
4, "村上 武","むらかみ たける",41,"1981年05月30日","男","A","murakami_530@example.jp","0949-59-3571","070-2740-4537","803-5671","福岡県福岡市城南区別府3-3-10","有限会社のぞみ","4431430248271819","04/25","616922143294"
5, "谷 祐一","たに ゆういち",22,"2000年02月25日","男","AB","yuichi_tani@example.ne.jp","0152-89-4573","070-9676-1174","072-3862","北海道室蘭市中島町3-1-707","株式会社Roots","4587157673981636","12/22","643684614817"
6, "村上 卓","むらかみ すぐる",62,"1960年03月05日","男","A","murakami_35@example.net","0980-52-5118","070-8904-1766","903-7099","沖縄県沖縄市美原1-4-11","","4326290242701023","01/27","391936175480"
7, "森 幸子","もり さちこ",45,"1977年06月19日","その他・不明","A","mori619@example.net","0894-37-0206","050-0765-6600","797-1936","愛媛県今治市小泉3-2-5","株式会社レインボー","4466803027403290","07/24","459434697690"
8, "村田 英治","むらた えいじ",40,"1982年01月18日","男","B","murata118@example.co.jp","03-7460-1092","050-4581-4713","163-4280","東京都東村山市久米川町3-1-4レジオン601","株式会社SOL","376357961206927","06/25","342570073689"
9, "岩田 和也","いわた かずや",46,"1976年06月09日","男","O","kazuyaiwata@example.co.jp","06-7913-2624","050-8138-2495","558-4402","大阪府大阪市中央区南船場1-5-607","株式会社レーヴ","4667423774002281","07/27","302788086810"
10, "坂倉 逸郎","さかくら いつろう",48,"1974年09月29日","男","A","itsurosakakura@example.ne.jp","06-5404-6752","050-8162-0095","564-3627","大阪府豊中市庄内栄町1-5-17アルス506","有限会社グリーン","5518747170067102","02/27","460392024701"
11, "竹下 恭子","たけした きょうこ",69,"1953年07月13日","女","A","kyokotakeshita@example.net","03-8881-0828","080-6189-3952","183-5551","東京都墨田区東向島3-3-6","","3564350976984105","08/23","876144477890"
12, "土屋 亮子","つちや りょうこ",72,"1950年05月13日","女","B","tsuchiya513@example.net","0465-60-8875","050-1521-2403","232-6858","神奈川県横浜市金沢区富岡西3-1-9","","375386099495772","07/25","901139258190"
13, "小西 直文","こにし なおふみ",75,"1947年06月17日","男","O","naofumikonishi@example.ne.jp","03-7560-1614","050-7682-7335","125-3858","東京都目黒区上目黒1-1-22","","5377999317623822","04/24","332006707850"
14, "松田 裕","まつだ ひろし",73,"1949年05月28日","男","A","yutaka_matsuda@example.net","06-3559-0067","070-6467-7895","558-5427","大阪府東大阪市岩田町4-3-8","","5243297731728083","03/27","558421406384"
15, "南 千絵","みなみ ちえ",68,"1954年09月15日","女","O","minamichie@example.jp","06-9207-0131","080-2057-0571","566-9250","大阪府東大阪市新庄3-2-12インペリアル414","","3539104969313463","09/27","479913085179"
16, "藤瀬 宏樹","ふじせ ひろき",76,"1946年03月31日","男","O","fujise331@example.com","03-5260-1988","050-7247-4228","180-9640","東京都世田谷区玉川1-1-19","","4351752489893910","03/26","452169600226"
17, "加藤 俊介","かとう しゅんすけ",45,"1977年05月29日","男","A","kato529@example.co.jp","022-247-3939","070-5004-1368","985-6035","宮城県岩沼市中央3-1-7","株式会社田中建設","3546157548481863","12/23","692932637196"
18, "松井 正雄","まつい まさお",64,"1958年09月11日","男","B","matsui_911@example.org","0237-28-9994","090-6588-9099","999-6159","山形県山形市桧町4-2-7","","5291925733987239","02/26","553160080050"
19, "豊田 万里","とよだ まり",28,"1994年03月12日","女","B","toyoda_mari@example.co.jp","03-8628-4137","080-2156-7284","138-2841","東京都港区六本木3-3-22","株式会社プラスワン","378280015012554","04/23","581218430956"
20, "鈴木 正明","すずき まさあき",60,"1962年11月07日","その他・不明","A","suzuki_117@example.com","0575-68-1080","090-1368-1290","507-1245","岐阜県多治見市明和町1-1-7","","5516931521947889","09/23","224032032821"
21, "石原 和久","いしはら かずひさ",30,"1992年07月20日","男","A","ishihara_kazuhisa@example.co.jp","06-5493-2231","090-4062-6915","553-8119","大阪府大阪市北区西天満4-3-6","有限会社アイ・コーポレーション","379629546799650","12/24","472327613870"
22, "酒井 典子","さかい のりこ",42,"1980年07月07日","女","O","sakainoriko@example.com","0575-06-4957","070-6845-1853","508-5012","岐阜県岐阜市神田町4-2-3ネオハイツ614","有限会社市川","5335581343718866","05/26","300184348709"
23, "青木 孝明","あおき たかあき",21,"2001年04月12日","男","B","takaaki_aoki@example.com","08388-6-3236","050-5022-1776","748-3443","山口県宇部市西平原2-3-9","有限会社コジマ","5569509331513491","10/24","118121720508"
24, "竹本 千恵","たけもと ちえ",64,"1958年01月30日","女","A","takemoto_130@example.com","03-8829-2606","090-2959-0221","118-9615","東京都杉並区高円寺南2-3-603","","3548895543085548","05/26","995958455480"
25, "岡田 知孝","おかだ ともたか",74,"1948年03月15日","男","A","tomotaka_okada@example.co.jp","0567-57-3420","070-3514-4920","489-0193","愛知県名古屋市北区山田2-5-19","","4004937726721336","05/23","181757281923"
26, "藤井 祐介","ふじい ゆうすけ",50,"1972年09月22日","男","O","fujii922@example.co.jp","03-8959-7299","080-1694-6312","135-3432","東京都板橋区板橋2-3-504","有限会社小川","5537192586974616","01/27","355337755537"
27, "桝田 勤","ますだ つとむ",71,"1951年10月08日","男","B","tsutomu_masuda@example.net","03-9048-4611","080-1340-0205","122-6595","東京都渋谷区恵比寿1-2-9","","371142470554891","08/23","491727207744"
28, "小川 未生","おがわ みを",25,"1997年06月25日","女","B","mio_ogawa@example.ne.jp","0930-87-6402","050-7949-1276","835-5175","福岡県久留米市御井旗崎4-1-3","有限会社三晃","5274305176193705","06/27","418154769948"
